"id";"codigo_arancelario";"nivel";"c_n_code";"longitud_cn_code";"descripcion";"parent_id"
144;"020319550080";8;"0203 19 55";10;----- Deshuesadas;143
145;"020319590080";8;"0203 19 59";10;----- Las demás;143
146;"020319900080";6;"0203 19 90";10;--- Las demás;138
147;"020321000010";4;"";0;- Congelada;128
148;"020321000080";5;"0203 21";7;-- En canales o medias canales;147
149;"020321100080";6;"0203 21 10";10;--- De animales de la especie porcina doméstica;148
150;"020321900080";6;"0203 21 90";10;--- Las demás;148
151;"020322000080";5;"0203 22";7;-- Piernas, paletas, y sus trozos, sin deshuesar;147
152;"020322110010";6;"";0;--- De animales de la especie porcina doméstica;151
153;"020322110080";7;"0203 22 11";10;---- Piernas y trozos de pierna;152
154;"020322190080";7;"0203 22 19";10;---- Paletas y trozos de paleta;152
155;"020322900080";6;"0203 22 90";10;--- Los demás;151
156;"020329000080";5;"0203 29";7;-- Las demás;147
157;"020329110010";6;"";0;--- De animales de la especie porcina doméstica;156
158;"020329110080";7;"0203 29 11";10;---- Partes delanteras y trozos de partes delanteras;157
159;"020329130080";7;"0203 29 13";10;---- Chuleteros y trozos de chuletero;157
160;"020329150080";7;"0203 29 15";10;---- Panceta y trozos de panceta;157
161;"020329550010";7;"";0;---- Las demás;157
162;"020329550080";8;"0203 29 55";10;----- Deshuesadas;161
163;"020329590080";8;"0203 29 59";10;----- Las demás;161
164;"020329900080";6;"0203 29 90";10;--- Las demás;156
165;"020400000080";3;"0204";4;Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada;108
166;"020410000080";4;"0204 10 00";10;- Canales o medias canales de cordero, frescas o refrigeradas;165
167;"020421000010";4;"";0;- Las demás carnes de animales de la especie ovina, frescas o refrigeradas;165
168;"020421000080";5;"0204 21 00";10;-- En canales o medias canales;167
169;"020422000080";5;"0204 22";7;-- Los demás cortes (trozos) sin deshuesar;167
170;"020422100080";6;"0204 22 10";10;--- Parte anterior de la canal o cuarto delantero;169
171;"020422300080";6;"0204 22 30";10;--- Chuleteros de palo o de riñonada o medios chuleteros de palo o de riñonada;169
172;"020422500080";6;"0204 22 50";10;--- Parte trasera de la canal o cuarto trasero;169
173;"020422900080";6;"0204 22 90";10;--- Los demás;169
174;"020423000080";5;"0204 23 00";10;-- Deshuesadas;167
175;"020430000080";4;"0204 30 00";10;- Canales o medias canales de cordero, congeladas;165
176;"020441000010";4;"";0;- Las demás carnes de animales de la especie ovina, congeladas;165
177;"020441000080";5;"0204 41 00";10;-- En canales o medias canales;176
178;"020442000080";5;"0204 42";7;-- Los demás cortes (trozos) sin deshuesar;176
179;"020442100080";6;"0204 42 10";10;--- Parte anterior de la canal o cuarto delantero;178
180;"020442300080";6;"0204 42 30";10;--- Chuleteros de palo o de riñonada o medios chuleteros de palo o de riñonada;178
181;"020442500080";6;"0204 42 50";10;--- Parte trasera de la canal o cuarto trasero;178
182;"020442900080";6;"0204 42 90";10;--- Los demás;178
183;"020443000080";5;"0204 43";7;-- Deshuesadas;176
184;"020443100080";6;"0204 43 10";10;--- De cordero;183
185;"020443900080";6;"0204 43 90";10;--- Las demás;183
186;"020450000080";4;"0204 50";7;- Carne de animales de la especie caprina;165
187;"020450110010";5;"";0;-- Fresca o refrigerada;186
188;"020450110080";6;"0204 50 11";10;--- En canales o medias canales;187
189;"020450130080";6;"0204 50 13";10;--- Parte anterior de la canal o cuarto delantero;187
190;"020450150080";6;"0204 50 15";10;--- Chuleteros de palo o de riñonada o medios chuleteros de palo o de riñonada;187
191;"020450190080";6;"0204 50 19";10;--- Parte trasera de la canal o cuarto trasero;187
192;"020450310010";6;"";0;--- Las demás;187
193;"020450310080";7;"0204 50 31";10;---- Cortes (trozos) sin deshuesar;192
194;"020450390080";7;"0204 50 39";10;---- Cortes (trozos) deshuesados;192
195;"020450510010";5;"";0;-- Congelada;186
196;"020450510080";6;"0204 50 51";10;--- En canales o medias canales;195
197;"020450530080";6;"0204 50 53";10;--- Parte anterior de la canal o cuarto delantero;195
198;"020450550080";6;"0204 50 55";10;--- Chuleteros de palo o de riñonada o medios chuleteros de palo o de riñonada;195
199;"020450590080";6;"0204 50 59";10;--- Parte trasera de la canal o cuarto trasero;195
200;"020450710010";6;"";0;--- Los demás;195
201;"020450710080";7;"0204 50 71";10;---- Cortes (trozos) sin deshuesar;200
202;"020450790080";7;"0204 50 79";10;---- Cortes (trozos) deshuesados;200
203;"020500000080";3;"0205 00";7;Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada;108
204;"020500200080";4;"0205 00 20";10;- Fresca o refrigerada;203
205;"020500800080";4;"0205 00 80";10;- Congelada;203
206;"020600000080";3;"0206";4;Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados;108
207;"020610000080";4;"0206 10";7;- De la especie bovina, frescos o refrigerados;206
208;"020610100080";5;"0206 10 10";10;-- Destinados a la fabricación de productos farmacéuticos;207
209;"020610950010";5;"";0;-- Los demás;207
343;"020745950080";8;"0207 45 95";10;----- Los demás;341
210;"020610950080";6;"0206 10 95";10;--- Entraña gruesa y entraña fina;209
211;"020610980080";6;"0206 10 98";10;--- Los demás;209
212;"020621000010";4;"";0;- De la especie bovina, congelados;206
213;"020621000080";5;"0206 21 00";10;-- Lenguas;212
214;"020622000080";5;"0206 22 00";10;-- Hígados;212
215;"020629000080";5;"0206 29";7;-- Los demás;212
216;"020629100080";6;"0206 29 10";10;--- Destinados a la fabricación de productos farmacéuticos;215
217;"020629910010";6;"";0;--- Los demás;215
218;"020629910080";7;"0206 29 91";10;---- Entraña gruesa y entraña fina;217
219;"020629990080";7;"0206 29 99";10;---- Los demás;217
220;"020630000080";4;"0206 30 00";10;- De la especie porcina, frescos o refrigerados;206
221;"020641000010";4;"";0;- De la especie porcina, congelados;206
222;"020641000080";5;"0206 41 00";10;-- Hígados;221
223;"020649000080";5;"0206 49 00";10;-- Los demás;221
224;"020680000080";4;"0206 80";7;- Los demás, frescos o refrigerados;206
225;"020680100080";5;"0206 80 10";10;-- Destinados a la fabricación de productos farmacéuticos;224
226;"020680910010";5;"";0;-- Los demás;224
227;"020680910080";6;"0206 80 91";10;--- De las especies caballar, asnal y mular;226
228;"020680990080";6;"0206 80 99";10;--- De las especies ovina y caprina;226
229;"020690000080";4;"0206 90";7;- Los demás, congelados;206
230;"020690100080";5;"0206 90 10";10;-- Destinados a la fabricación de productos farmacéuticos;229
231;"020690910010";5;"";0;-- Los demás;229
232;"020690910080";6;"0206 90 91";10;--- De las especies caballar, asnal y mular;231
233;"020690990080";6;"0206 90 99";10;--- De las especies ovina y caprina;231
234;"020700000080";3;"0207";4;Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados;108
235;"020711000010";4;"";0;- De aves de la especie Gallus domesticus;234
236;"020711000080";5;"0207 11";7;-- Sin trocear, frescos o refrigerados;235
237;"020711100080";6;"0207 11 10";10;--- Desplumados y destripados, con la cabeza y las patas, llamados «pollos 83 %»;236
238;"020711300080";6;"0207 11 30";10;--- Desplumados, eviscerados, sin cabeza ni patas, pero con el cuello, el corazón, el hígado y la molleja, llamados «pollos 70 %»;236
239;"020711900080";6;"0207 11 90";10;--- Desplumados, eviscerados, sin cabeza, patas, cuello, corazón, hígado ni molleja, llamados «pollos 65 %», o presentados de otro modo;236
240;"020712000080";5;"0207 12";7;-- Sin trocear, congelados;235
241;"020712100080";6;"0207 12 10";10;--- Desplumados, eviscerados, sin la cabeza ni las patas, pero con el cuello, el corazón, el hígado y la molleja, llamados «pollos 70 %»;240
242;"020712900080";6;"0207 12 90";10;--- Desplumados, eviscerados, sin la cabeza ni las patas y sin el cuello, el corazón, el hígado ni la molleja, llamados «pollos 65 %», o presentados de otro modo;240
243;"020713000080";5;"0207 13";7;-- Trozos y despojos, frescos o refrigerados;235
244;"020713100010";6;"";0;--- Trozos;243
245;"020713100080";7;"0207 13 10";10;---- Deshuesados;244
246;"020713200010";7;"";0;---- Sin deshuesar;244
247;"020713200080";8;"0207 13 20";10;----- Mitades o cuartos;246
248;"020713300080";8;"0207 13 30";10;----- Alas enteras, incluso sin la punta;246
249;"020713400080";8;"0207 13 40";10;----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas;246
250;"020713500080";8;"0207 13 50";10;----- Pechugas y trozos de pechuga;246
251;"020713600080";8;"0207 13 60";10;----- Muslos, contramuslos, y sus trozos;246
252;"020713700080";8;"0207 13 70";10;----- Los demás;246
253;"020713910010";6;"";0;--- Despojos;243
254;"020713910080";7;"0207 13 91";10;---- Hígados;253
255;"020713990080";7;"0207 13 99";10;---- Los demás;253
256;"020714000080";5;"0207 14";7;-- Trozos y despojos, congelados;235
257;"020714100010";6;"";0;--- Trozos;256
258;"020714100080";7;"0207 14 10";10;---- Deshuesados;257
259;"020714200010";7;"";0;---- Sin deshuesar;257
260;"020714200080";8;"0207 14 20";10;----- Mitades o cuartos;259
261;"020714300080";8;"0207 14 30";10;----- Alas enteras, incluso sin la punta;259
262;"020714400080";8;"0207 14 40";10;----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas;259
263;"020714500080";8;"0207 14 50";10;----- Pechugas y trozos de pechuga;259
264;"020714600080";8;"0207 14 60";10;----- Muslos, contramuslos, y sus trozos;259
265;"020714700080";8;"0207 14 70";10;----- Los demás;259
266;"020714910010";6;"";0;--- Despojos;256
267;"020714910080";7;"0207 14 91";10;---- Hígados;266
268;"020714990080";7;"0207 14 99";10;---- Los demás;266
269;"020724000010";4;"";0;- De pavo (gallipavo);234
270;"020724000080";5;"0207 24";7;-- Sin trocear, frescos o refrigerados;269
271;"020724100080";6;"0207 24 10";10;--- Desplumados, eviscerados, sin la cabeza ni las patas, pero con el cuello, el corazón, el hígado y la molleja, llamados «pavos 80 %»;270
272;"020724900080";6;"0207 24 90";10;--- Desplumados, eviscerados, sin la cabeza, el cuello, las patas, el corazón, el hígado ni la molleja, llamados «pavos 73 %», o presentados de otro modo;270
273;"020725000080";5;"0207 25";7;-- Sin trocear, congelados;269
274;"020725100080";6;"0207 25 10";10;--- Desplumados, eviscerados, sin la cabeza ni las patas, pero con el cuello, el corazón, el hígado y la molleja, llamados «pavos 80 %»;273
275;"020725900080";6;"0207 25 90";10;--- Desplumados, eviscerados, sin la cabeza, el cuello, las patas, el corazón, el hígado ni la molleja, llamados «pavos 73 %», o presentados de otro modo;273
276;"020726000080";5;"0207 26";7;-- Trozos y despojos, frescos o refrigerados;269
277;"020726100010";6;"";0;--- Trozos;276
278;"020726100080";7;"0207 26 10";10;---- Deshuesados;277
279;"020726200010";7;"";0;---- Sin deshuesar;277
280;"020726200080";8;"0207 26 20";10;----- Mitades o cuartos;279
281;"020726300080";8;"0207 26 30";10;----- Alas enteras, incluso sin la punta;279
282;"020726400080";8;"0207 26 40";10;----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas;279
283;"020726500080";8;"0207 26 50";10;----- Pechugas y trozos de pechuga;279
284;"020726600010";8;"";0;----- Muslos, contramuslos, y sus trozos;279
285;"020726600080";9;"0207 26 60";10;------ Muslos y trozos de muslo;284
286;"020726700080";9;"0207 26 70";10;------ Los demás;284
287;"020726800080";8;"0207 26 80";10;----- Los demás;279
288;"020726910010";6;"";0;--- Despojos;276
289;"020726910080";7;"0207 26 91";10;---- Hígados;288
290;"020726990080";7;"0207 26 99";10;---- Los demás;288
291;"020727000080";5;"0207 27";7;-- Trozos y despojos, congelados;269
292;"020727100010";6;"";0;--- Trozos;291
293;"020727100080";7;"0207 27 10";10;---- Deshuesados;292
294;"020727200010";7;"";0;---- Sin deshuesar;292
295;"020727200080";8;"0207 27 20";10;----- Mitades o cuartos;294
296;"020727300080";8;"0207 27 30";10;----- Alas enteras, incluso sin la punta;294
297;"020727400080";8;"0207 27 40";10;----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas;294
298;"020727500080";8;"0207 27 50";10;----- Pechugas y trozos de pechuga;294
299;"020727600010";8;"";0;----- Muslos, contramuslos, y sus trozos;294
300;"020727600080";9;"0207 27 60";10;------ Muslos y trozos de muslo;299
301;"020727700080";9;"0207 27 70";10;------ Los demás;299
302;"020727800080";8;"0207 27 80";10;----- Los demás;294
303;"020727910010";6;"";0;--- Despojos;291
304;"020727910080";7;"0207 27 91";10;---- Hígados;303
305;"020727990080";7;"0207 27 99";10;---- Los demás;303
306;"020741000010";4;"";0;- De pato;234
307;"020741000080";5;"0207 41";7;-- Sin trocear, frescos o refrigerados;306
308;"020741200080";6;"0207 41 20";10;--- Desplumados, sangrados, sin intestinos pero sin eviscerar, con la cabeza y las patas, llamados «patos 85 %»;307
309;"020741300080";6;"0207 41 30";10;--- Desplumados, eviscerados, sin la cabeza ni las patas, con el cuello, el corazón, el hígado y la molleja, llamados «patos 70 %»;307
310;"020741800080";6;"0207 41 80";10;--- Desplumados, eviscerados, sin la cabeza ni las patas y sin el cuello, el corazón, el hígado ni la molleja, llamados «patos 63 %», o presentados de otro modo;307
311;"020742000080";5;"0207 42";7;-- Sin trocear, congelados;306
312;"020742300080";6;"0207 42 30";10;--- Desplumados, eviscerados, sin la cabeza ni las patas, pero con el cuello, el corazón, el hígado y la molleja, llamados «patos 70 %»;311
313;"020742800080";6;"0207 42 80";10;--- Desplumados, eviscerados, sin la cabeza, las patas, el cuello, el hígado ni la molleja, llamados «patos 63 %», o presentados de otro modo;311
314;"020743000080";5;"0207 43 00";10;-- Hígados grasos, frescos o refrigerados;306
315;"020744000080";5;"0207 44";7;-- Los demás, frescos o refrigerados;306
316;"020744100010";6;"";0;--- Trozos;315
317;"020744100080";7;"0207 44 10";10;---- Deshuesados;316
318;"020744210010";7;"";0;---- Sin deshuesar;316
319;"020744210080";8;"0207 44 21";10;----- Mitades o cuartos;318
320;"020744310080";8;"0207 44 31";10;----- Alas enteras, incluso sin la punta;318
321;"020744410080";8;"0207 44 41";10;----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas;318
322;"020744510080";8;"0207 44 51";10;----- Pechugas y trozos de pechuga;318
323;"020744610080";8;"0207 44 61";10;----- Muslos, contramuslos, y sus trozos;318
324;"020744710080";8;"0207 44 71";10;----- Patos semideshuesados;318
325;"020744810080";8;"0207 44 81";10;----- Los demás;318
326;"020744910010";6;"";0;--- Despojos;315
327;"020744910080";7;"0207 44 91";10;---- Hígados (excepto los hígados grasos de pato);326
328;"020744990080";7;"0207 44 99";10;---- Los demás;326
329;"020745000080";5;"0207 45";7;-- Los demás, congelados;306
330;"020745100010";6;"";0;--- Trozos;329
331;"020745100080";7;"0207 45 10";10;---- Deshuesados;330
332;"020745210010";7;"";0;---- Sin deshuesar;330
333;"020745210080";8;"0207 45 21";10;----- Mitades o cuartos;332
334;"020745310080";8;"0207 45 31";10;----- Alas enteras, incluso sin la punta;332
335;"020745410080";8;"0207 45 41";10;----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas;332
336;"020745510080";8;"0207 45 51";10;----- Pechugas y trozos de pechuga;332
337;"020745610080";8;"0207 45 61";10;----- Muslos, contramuslos, y sus trozos;332
338;"020745710080";8;"0207 45 71";10;----- Patos semideshuesados;332
339;"020745810080";8;"0207 45 81";10;----- Los demás;332
340;"020745930010";6;"";0;--- Despojos;329
341;"020745930020";7;"";0;---- Hígados;340
342;"020745930080";8;"0207 45 93";10;----- Hígados grasos de pato;341
344;"020745990080";7;"0207 45 99";10;---- Los demás;340
345;"020751000010";4;"";0;- De ganso;234
346;"020751000080";5;"0207 51";7;-- Sin trocear, frescos o refrigerados;345
347;"020751100080";6;"0207 51 10";10;--- Desplumados, sangrados, sin eviscerar, con la cabeza y las patas, llamados «gansos 82 %»;346
348;"020751900080";6;"0207 51 90";10;--- Desplumados, eviscerados, sin la cabeza ni las patas, con el corazón y la molleja o sin ellos, llamados «gansos 75 %», o presentados de otro modo;346
349;"020752000080";5;"0207 52";7;-- Sin trocear, congelados;345
350;"020752100080";6;"0207 52 10";10;--- Desplumados, sangrados, sin eviscerar, con la cabeza y las patas, llamados «gansos 82 %»;349
351;"020752900080";6;"0207 52 90";10;--- Desplumados, eviscerados, sin la cabeza ni las patas, con el corazón y la molleja o sin ellos, llamados «gansos 75 %», o presentados de otro modo;349
352;"020753000080";5;"0207 53 00";10;-- Hígados grasos, frescos o refrigerados;345
353;"020754000080";5;"0207 54";7;-- Los demás, frescos o refrigerados;345
354;"020754100010";6;"";0;--- Trozos;353
355;"020754100080";7;"0207 54 10";10;---- Deshuesados;354
356;"020754210010";7;"";0;---- Sin deshuesar;354
357;"020754210080";8;"0207 54 21";10;----- Mitades o cuartos;356
358;"020754310080";8;"0207 54 31";10;----- Alas enteras, incluso sin la punta;356
359;"020754410080";8;"0207 54 41";10;----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas;356
360;"020754510080";8;"0207 54 51";10;----- Pechugas y trozos de pechuga;356
361;"020754610080";8;"0207 54 61";10;----- Muslos, contramuslos, y sus trozos;356
362;"020754710080";8;"0207 54 71";10;----- Gansos semideshuesados;356
363;"020754810080";8;"0207 54 81";10;----- Los demás;356
364;"020754910010";6;"";0;--- Despojos;353
365;"020754910080";7;"0207 54 91";10;---- Hígados (excepto los hígados grasos de ganso);364
366;"020754990080";7;"0207 54 99";10;---- Los demás;364
367;"020755000080";5;"0207 55";7;-- Los demás, congelados;345
368;"020755100010";6;"";0;--- Trozos;367
369;"020755100080";7;"0207 55 10";10;---- Deshuesados;368
370;"020755210010";7;"";0;---- Sin deshuesar;368
371;"020755210080";8;"0207 55 21";10;----- Mitades o cuartos;370
372;"020755310080";8;"0207 55 31";10;----- Alas enteras, incluso sin la punta;370
373;"020755410080";8;"0207 55 41";10;----- Troncos, cuellos, troncos con cuello, rabadillas y puntas de alas;370
